128 exp version
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:286 - Output: Max ATOL Delta: 4.287014961242676, Max RTOL Delta: 514.1734619140625, PCC: 0.9908931443113425
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:299 - Top-1 Accuracy: 0.90625
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:300 - Top-5 Accuracy: 1.0
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:318 - K Cache Layer 0: Max ATOL Delta: 0.38667774200439453, Max RTOL Delta: inf, PCC: 0.9998397376255937
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:323 - V Cache Layer 0: Max ATOL Delta: 0.0383073091506958, Max RTOL Delta: 425.92266845703125, PCC: 0.9997911553041854
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:318 - K Cache Layer 1: Max ATOL Delta: 0.3626089096069336, Max RTOL Delta: inf, PCC: 0.9996574954268607
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:323 - V Cache Layer 1: Max ATOL Delta: 0.04756787419319153, Max RTOL Delta: 519.2537841796875, PCC: 0.9993162430422581
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:318 - K Cache Layer 2: Max ATOL Delta: 0.4508390426635742, Max RTOL Delta: inf, PCC: 0.9995948165689181
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:323 - V Cache Layer 2: Max ATOL Delta: 0.07603108882904053, Max RTOL Delta: 239.37294006347656, PCC: 0.9985412420300993
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:318 - K Cache Layer 3: Max ATOL Delta: 0.40430164337158203, Max RTOL Delta: inf, PCC: 0.9994441550167137
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:323 - V Cache Layer 3: Max ATOL Delta: 0.11341129243373871, Max RTOL Delta: 210.4761199951172, PCC: 0.9967614569692185
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:318 - K Cache Layer 4: Max ATOL Delta: 0.4003438949584961, Max RTOL Delta: inf, PCC: 0.9992474038399212
| INFO     | models.demos.falcon7b.tests.test_perf_falcon:run_test_FalconCausalLM_end_to_end:323 - V Cache Layer 4: Max ATOL Delta: 0.21289247274398804, Max RTOL Delta: 702.973876953125, PCC: 0.9964866997687593
